# Start logging at 2021-01-11 21:32:40 E. South America Standard Time
[21:32:40] disconnected
[22:39:44]  zim_22: tem mini games novos no pummel
[22:40:03]  hierx: boa noite, ted
[22:40:09]  lobofrenetico: Colono tem que virar corredor Tier A esse ano, ele não vai matar o GTA
[22:40:14]  jefff: tbm acho
[22:40:14]  badwolfinho: Tendi
[22:40:21]  tedthegr8: @hierx boa noite, Bro. se cuide, boa semana aí
[22:40:24]  fabiopipipi: Volta So7
[22:40:28]  galexander17: so7 no gta era o melhor, que saudade
[22:40:28]  jefff: 2021 e vc quer acreditar no colono?
[22:40:30]  jhonnick: ambiente TÓXICO
[22:40:31]  hannibalfront: SO7 farpando vandep
[22:40:32]  mudeimeunome: Telefone sem fio todo domingo eu voto sim
[22:40:37]  mudeimeunome: joguinho tranquilo
[22:40:40]  fernandomallet: volta so
[22:40:40]  tiubigode: So7 ta ficando velho, só quer paz e NBA
[22:40:44]  fernandomallet: volta so7
[22:40:44]  mudeimeunome: sem brigas
[22:41:07]  hierx: @tedthegr8 idem
[22:41:18]  mudeimeunome: Colono tinha que ter um podcast pra se expressar
[22:41:26]  badwolfinho: KKKKKKK
[22:41:37]  fernandomallet: D:
[22:41:41]  tiubigode: pau no cu do Danilinho
[22:41:54]  fabiopipipi: So7 antes jogava RE5 com Pirata e agora vai de Colono..2021 nao ta facil pro So7
[22:42:09]  iagosbroglio: kkkkkkkkk
[22:42:34] disconnected
[22:42:53]  hierx: !pipipi
[22:43:00]  vinimasao: mrvandPipipi
[22:43:33]  bruninhoso7: Daqui a pouco eu volto, vou rodar um AD enquanto estiver fora, tanka essa pelo time?! Thanks!! <3
[22:43:35]  badwolfinho: vai la
[22:43:49]  ralmajid: oi coloninho
[22:43:53]  lrenanvictorl: oiii
[22:43:59]  dkmplayer: oii
[22:43:59]  badwolfinho: Acho que é so do chat dele gente KKK
[22:44:03]  fabiopipipi: Fui lá deu merda..hahahah
[22:44:11]  hannigust: Cheer1 !pi pi pi pi pi pi
[22:44:12]  ivaortiz134: gosto muito de vc
[22:44:14]  fernandosini: bruninho croquete
[22:44:49]  badwolfinho: Olha a OP do jogo de fundo
[22:45:10]  jhonnick: @bruninhoso7 uma pergunta séria, se eu te mandar um direct no discord referente aos vintão vc vê?
[22:45:25]  badwolfinho: S
[22:45:26]  iagosbroglio: foi
[22:45:26]  ralmajid: atualizou
[22:45:30]  matheussouzudo: boa noite
[22:45:49]  fernandosini: que isso
[22:45:58]  tron_black: vai
[22:46:01]  matheussouzudo: Cheer1 e aí SO7 falta 12 seguiamores pra 100
[22:46:35]  tron_black: @BruninhoSO7 É pq vc já terminou o jogo ele sempre vem ativo
[22:47:26]  jefff: aposentei o q?
[22:47:30]  jhonnick: @bruninhoso7 uma pergunta séria, se eu te mandar um direct no discord referente aos vintão vc vê?
[22:47:34]  tiubigode: falou mal do Jeffinho da Galera
[22:47:39]  iagosbroglio: @JeFFF eu
[22:47:41]  fabiopipipi: @JeFFF vc mesmo
[22:47:51]  breno10fernandes: Colono dando exposed
[22:47:57]  ozura99: @JeFFF os criadores de corrida merda no gta
[22:48:01]  kuregani: Cheguei boa noite so7 boa noite seus fofos
[22:48:03]  jefff: Toda sexta comentam um monte nos chats por ai de mim e nao me aposentam. !fdefumo
[22:49:06]  fabiopipipi: Eu até gosto do RE5 mas o RE6 nao consigo ..muito ruim
[22:49:20]  tiubigode: #AposentemOJeff
[22:49:26]  iagosbroglio: depois de 191 mortes todo mundo tilta
[22:49:40]  mbsoundrj: a voz do colono está baixa
[22:49:41]  abraaum_pc: eu gosto do RE6
[22:49:44]  jeor22: !jadei
[22:49:50]  abraaum_pc: é um jogo de ação bom
[22:49:55]  abraaum_pc: não é resident
[22:50:00]  abraaum_pc: mas é um jogo Legal
